gene_id	uniprot_accession	Gene.Ontology.IDs
g10407	A2AVA0	GO:0001945; GO:0003017; GO:0003682; GO:0005178; GO:0005509; GO:0005576; GO:0005615; GO:0005634; GO:0005737; GO:0008544; GO:0010467; GO:0010572; GO:0016020; GO:0016477; GO:0031012; GO:0036303; GO:0045906; GO:0045959; GO:0048014; GO:0090136; GO:0098640; GO:0120193
g504	D4A734	GO:0005308; GO:0005886; GO:0008028; GO:0015292; GO:0015881; GO:0016323; GO:0046449
g509	P63221	GO:0000447; GO:0000461; GO:0002181; GO:0003735; GO:0022627; GO:0043022; GO:0098556
g4887	Q6UXS0	GO:0005576; GO:0030246
g4880	Q07352	GO:0000165; GO:0000288; GO:0000932; GO:0001570; GO:0003342; GO:0003677; GO:0003723; GO:0003729; GO:0005634; GO:0005737; GO:0005829; GO:0006397; GO:0006417; GO:0006915; GO:0007507; GO:0008283; GO:0009611; GO:0010468; GO:0010837; GO:0021915; GO:0031086; GO:0031440; GO:0032869; GO:0033077; GO:0035264; GO:0035925; GO:0038066; GO:0043488; GO:0043491; GO:0044344; GO:0045577; GO:0045600; GO:0045616; GO:0045647; GO:0045657; GO:0045661; GO:0046872; GO:0048382; GO:0051028; GO:0060710; GO:0060712; GO:0061158; GO:0070371; GO:0071320; GO:0071356; GO:0071364; GO:0071375; GO:0071385; GO:0071456; GO:0071472; GO:0071560; GO:0071889; GO:0072091; GO:0097403; GO:1900153; GO:1901991; GO:1902172; GO:1904582; GO:1990904
g23660	Q8NE28	GO:0004674; GO:0005524
g14443	Q12719	GO:0005507; GO:0005576; GO:0046274; GO:0052716
g19719	Q2KIY1	GO:0005737; GO:0005778
g19716	Q925Q3	GO:0005432; GO:0005739; GO:0005743; GO:0005886; GO:0006851; GO:0006874; GO:0016020; GO:0030061; GO:0031966; GO:0035725; GO:0042383; GO:0042593; GO:0042802; GO:0042803; GO:0050796; GO:0051480; GO:0051560; GO:0070588; GO:0086036; GO:0086038; GO:0099093; GO:1901623; GO:2001256
g19710	P86729	GO:0005509; GO:0005576; GO:0007160
g22899	P08736	GO:0003746; GO:0003924; GO:0005525; GO:0005737; GO:0006412; GO:0006414
g22895	NA	NA
g22893	Q9WV18	GO:0001649; GO:0004965; GO:0005615; GO:0005737; GO:0005789; GO:0005886; GO:0007193; GO:0007214; GO:0008021; GO:0008285; GO:0014048; GO:0014049; GO:0014053; GO:0016020; GO:0030673; GO:0031966; GO:0032811; GO:0033602; GO:0035094; GO:0038037; GO:0038039; GO:0042734; GO:0043025; GO:0043197; GO:0043198; GO:0045211; GO:0045471; GO:0046982; GO:0050805; GO:0051932; GO:0060124; GO:0097060; GO:0098685; GO:0098793; GO:0098978; GO:0098982; GO:0099579; GO:0150047; GO:0150099; GO:1902710; GO:1902712; GO:1990430
g22271	D3ZHH1	GO:0000122; GO:0001525; GO:0001554; GO:0001569; GO:0001974; GO:0002062; GO:0003180; GO:0003208; GO:0003209; GO:0003222; GO:0003344; GO:0005112; GO:0005509; GO:0005886; GO:0007219; GO:0008285; GO:0010596; GO:0010628; GO:0010629; GO:0030217; GO:0035912; GO:0035924; GO:0043537; GO:0044344; GO:0045746; GO:0045747; GO:0048018; GO:0050767; GO:0060579; GO:0061074; GO:0071397; GO:0071456; GO:0072554; GO:0090051; GO:1903588; GO:2000179
g22275	Q9HD45	GO:0016020; GO:0072657
g22278	P37892	GO:0004181; GO:0005576; GO:0006508; GO:0008270; GO:0030658
g22279	Q8TDX6	GO:0000139; GO:0001958; GO:0008376; GO:0008955; GO:0015014; GO:0015020; GO:0019276; GO:0030166; GO:0030198; GO:0030206; GO:0030210; GO:0032580; GO:0046398; GO:0046872; GO:0047237; GO:0047238; GO:0050650; GO:0050651; GO:0050653; GO:0051216
g9218	Q75N90	GO:0001527; GO:0005201; GO:0005509; GO:0005576; GO:0009653; GO:0031012
g9219	Q19673	GO:0004497; GO:0046872
g9214	O43451	GO:0000025; GO:0003824; GO:0004339; GO:0004558; GO:0005886; GO:0005983; GO:0016160; GO:0016324; GO:0030246; GO:0032450; GO:0070062; GO:0070821; GO:0101003; GO:1901027
g9217	Q9NZR2	GO:0005041; GO:0005509; GO:0005886; GO:0006898; GO:0015031; GO:0043235
g20126	NA	NA
g20127	Q9FWW6	GO:0004499; GO:0009751; GO:0009753; GO:0019761; GO:0050660; GO:0050661
g17172	P02269	GO:0000786; GO:0003677; GO:0005634; GO:0030527; GO:0046982
g17170	P97532	GO:0001822; GO:0001889; GO:0004792; GO:0005737; GO:0005739; GO:0016784; GO:0019346; GO:0021510; GO:0042802; GO:0043005; GO:0045202; GO:0070814
g17176	O94817	GO:0000045; GO:0000421; GO:0000422; GO:0005654; GO:0005776; GO:0005829; GO:0016236; GO:0030670; GO:0032480; GO:0032991; GO:0034045; GO:0034274; GO:0034727; GO:0043231; GO:0045824; GO:0050687; GO:0061723; GO:0097352; GO:1901096; GO:1904973; GO:1990234
g13418	NA	NA
g13419	Q91VN6	GO:0000398; GO:0003677; GO:0003724; GO:0003729; GO:0005524; GO:0005634; GO:0005681; GO:0005783; GO:0008283; GO:0016887; GO:0030154; GO:0035458; GO:0045944; GO:0046872; GO:0051607
g13417	NA	NA
g21293	Q2IBB2	GO:0005938; GO:0043197; GO:0050807; GO:0090443; GO:0098978
g21292	Q07DW4	GO:0005938; GO:0043197; GO:0090443
g2743	Q54P70	GO:0004843; GO:0006508; GO:0016579
g21740	Q8BGC3	GO:0005308; GO:0005886; GO:0008028; GO:0015292; GO:0015881; GO:0016323; GO:0046449
g15151	Q9GL24	GO:0004175; GO:0004197; GO:0005615; GO:0005764; GO:0006955; GO:0008656; GO:0016324; GO:0016540; GO:0030574; GO:0031638; GO:0034230; GO:0042583; GO:0043373; GO:0048002; GO:0051603; GO:0060309; GO:2001235
g15159	Q9YI97	GO:0005634; GO:0005737; GO:0006596; GO:0008073; GO:0045732; GO:0075523; GO:0090316
g15158	Q96GE6	GO:0005509; GO:0005902; GO:0030234; GO:0032028; GO:1904970
g14280	P47791	GO:0004362; GO:0005739; GO:0005829; GO:0006749; GO:0007283; GO:0009897; GO:0034599; GO:0042802; GO:0043295; GO:0045454; GO:0050660; GO:0050661
g14288	O14936	GO:0001953; GO:0004385; GO:0004674; GO:0005102; GO:0005516; GO:0005524; GO:0005604; GO:0005652; GO:0005730; GO:0005737; GO:0005829; GO:0005886; GO:0005911; GO:0005925; GO:0007155; GO:0008104; GO:0010839; GO:0015629; GO:0016323; GO:0016363; GO:0031982; GO:0042043; GO:0042734; GO:0045944; GO:0046928; GO:0051649; GO:0060170; GO:0061045; GO:0070509; GO:0090280; GO:0090288; GO:0098685; GO:0106310; GO:2000300
g4357	Q9DB05	GO:0000149; GO:0005483; GO:0006886; GO:0007420; GO:0010807; GO:0016082; GO:0019905; GO:0030182; GO:0031594; GO:0032984; GO:0035249; GO:0035494; GO:0043209; GO:0044877; GO:0045176; GO:0048787; GO:0070044; GO:0098793; GO:0098794; GO:0098978
g1328	Q90243	GO:0005319; GO:0045735
g1324	Q66K08	GO:0005615; GO:0062023
g1326	Q90243	GO:0005319; GO:0045735
g5001	Q5RE15	GO:0005634; GO:0005829; GO:0008541; GO:0022624; GO:0043161
g5002	P62334	GO:0005524; GO:0005634; GO:0008540; GO:0016234; GO:0016887; GO:0022624; GO:0031597; GO:0036402; GO:0036503; GO:0042802; GO:0043161; GO:0045899; GO:0090261
g1580	Q4ZIN3	GO:0005783; GO:0005789; GO:0034976; GO:1904294
g6672	Q9DE06	GO:0005739; GO:0006694; GO:0008203; GO:0015485; GO:0032367; GO:0050810; GO:0120020
g15900	NA	NA
g7986	Q8VI56	GO:0001822; GO:0001932; GO:0001942; GO:0005509; GO:0005886; GO:0006897; GO:0007167; GO:0008104; GO:0009953; GO:0009954; GO:0009986; GO:0014069; GO:0015026; GO:0016055; GO:0030279; GO:0030326; GO:0030425; GO:0030971; GO:0031594; GO:0034185; GO:0035022; GO:0042475; GO:0042733; GO:0042803; GO:0043025; GO:0043113; GO:0044853; GO:0045202; GO:0048699; GO:0048813; GO:0050731; GO:0050771; GO:0050808; GO:0051124; GO:0071340; GO:0090090; GO:0097060; GO:0097104; GO:0097105; GO:0097110; GO:0150052; GO:0150094; GO:1901631; GO:1904395
g19139	Q0EEE2	GO:0005783; GO:0005789; GO:0005886; GO:0016020; GO:0097225
g19138	Q0EEE2	GO:0005783; GO:0005789; GO:0005886; GO:0016020; GO:0097225
g16348	Q9D8W5	GO:0005737; GO:0005838; GO:0008541; GO:0022624
g16346	Q8R481	GO:0001580; GO:0004601; GO:0005615; GO:0005737; GO:0006979; GO:0016323; GO:0020037; GO:0036393; GO:0042742; GO:0046872; GO:0140825
g16345	Q07192	GO:0004674; GO:0004708; GO:0004713; GO:0005524; GO:0106310
g18774	P31403	GO:0033179; GO:0046961
g18776	P24014	GO:0001764; GO:0003151; GO:0005509; GO:0005576; GO:0005886; GO:0007411; GO:0007427; GO:0007432; GO:0007502; GO:0007509; GO:0008078; GO:0008201; GO:0008347; GO:0008406; GO:0009986; GO:0010632; GO:0016199; GO:0016201; GO:0022409; GO:0030182; GO:0030335; GO:0030424; GO:0035050; GO:0035385; GO:0048495; GO:0048813; GO:0050929; GO:0071666; GO:2000274
g15422	Q9NPH0	GO:0002244; GO:0003993; GO:0005737; GO:0005739; GO:0005759; GO:0006644; GO:0006654; GO:0052642; GO:2001311
g15427	Q93073	GO:0001514; GO:0003723; GO:0003730; GO:0035368; GO:0043021; GO:1990904
g15426	O57478	GO:0004325; GO:0005743; GO:0006783; GO:0046872; GO:0051537
g9118	NA	NA
g9113	NA	NA
g9112	NA	NA
g9111	NA	NA
g19690	Q8R4G9	GO:0005783; GO:0005794; GO:0005886; GO:0005892; GO:0006937; GO:0006940; GO:0007271; GO:0007626; GO:0009410; GO:0014056; GO:0015464; GO:0022848; GO:0030425; GO:0032991; GO:0035094; GO:0035095; GO:0042166; GO:0042391; GO:0043005; GO:0043025; GO:0044853; GO:0044877; GO:0045202; GO:0045211; GO:0048814; GO:0051899; GO:0060079; GO:0060084; GO:0095500; GO:0098691; GO:0098793; GO:0098981; GO:0099171; GO:0099634; GO:1901363; GO:1904315; GO:1905144
g19694	Q9Z200	GO:0001725; GO:0001726; GO:0001922; GO:0005068; GO:0005737; GO:0005829; GO:0005884; GO:0005886; GO:0007399; GO:0008286; GO:0019221; GO:0019222; GO:0030036; GO:0035556; GO:0035591; GO:0042169; GO:0042802; GO:0046578; GO:0050776; GO:0050851; GO:0050853; GO:0050873
g21507	P51644	GO:0003924; GO:0005525; GO:0005794; GO:0005886; GO:0006886; GO:0016192
g21505	Q08CD5	GO:0000139; GO:0005794; GO:0035269; GO:0120053
g21503	Q7Z6B7	GO:0005096; GO:0005737; GO:0005829; GO:0007165; GO:0030336
g23958	NA	NA
g11349	Q9P2G1	GO:0000151; GO:0000209; GO:0005737; GO:0006511; GO:0008270; GO:0031624; GO:0061630
g11342	G3MWR8	GO:0003779; GO:0005634; GO:0005819; GO:0005938; GO:0006887; GO:0007010; GO:0016709; GO:0030042; GO:0030496; GO:0042995; GO:0046872; GO:0071949; GO:0120501
g11343	Q8CJ19	GO:0003779; GO:0005634; GO:0005819; GO:0005938; GO:0006887; GO:0007010; GO:0016709; GO:0030042; GO:0030496; GO:0042995; GO:0046872; GO:0051301; GO:0071949; GO:0120501
g11698	NA	NA
g8040	Q594P2	GO:0001649; GO:0001953; GO:0005615; GO:0005741; GO:0005743; GO:0005758; GO:0005783; GO:0005791; GO:0005794; GO:0005929; GO:0007165; GO:0014734; GO:0022011; GO:0030335; GO:0031175; GO:0031410; GO:0033268; GO:0035024; GO:0035567; GO:0038133; GO:0043408; GO:0045162; GO:0046872; GO:0051496; GO:0051497; GO:0051894; GO:0051897; GO:0051901; GO:0060348; GO:0062023; GO:0070062; GO:1900026
g8041	NA	NA
g21880	Q86UD5	GO:0005743; GO:0005886; GO:0006814; GO:0010348; GO:0010351; GO:0015385; GO:0016323; GO:0016324; GO:0030317; GO:0030672; GO:0031966; GO:0034220; GO:0042802; GO:0055037; GO:0055038; GO:0055078; GO:0061178; GO:0072583; GO:0097228; GO:0098662; GO:2001206
g10560	K0DZA0	GO:0044283; GO:0046872; GO:0051213
g10562	P35223	GO:0005737; GO:0005856; GO:0007155; GO:0045296
g1876	A2VE52	GO:0000175; GO:0000287; GO:0003676; GO:0005634; GO:0005730; GO:0005737; GO:0005739; GO:0005758; GO:0005759; GO:0005925; GO:0008296; GO:0008408
g1872	Q99570	GO:0004672; GO:0004674; GO:0005524; GO:0005770; GO:0005776; GO:0005829; GO:0005930; GO:0006468; GO:0006622; GO:0006623; GO:0010506; GO:0015630; GO:0016020; GO:0016236; GO:0016241; GO:0030242; GO:0030670; GO:0032465; GO:0032801; GO:0034271; GO:0034272; GO:0035032; GO:0036092; GO:0042149; GO:0043231; GO:0043491; GO:0045022; GO:0045324; GO:0071561; GO:0097352; GO:0106310
g1873	P35573	GO:0004133; GO:0004134; GO:0004135; GO:0005576; GO:0005634; GO:0005737; GO:0005829; GO:0005978; GO:0005980; GO:0007584; GO:0016234; GO:0016529; GO:0030247; GO:0031593; GO:0034774; GO:0043033; GO:0051384; GO:0102500; GO:1904813
g1878	P98156	GO:0005509; GO:0005615; GO:0005886; GO:0005905; GO:0006869; GO:0006898; GO:0008203; GO:0009986; GO:0016020; GO:0021517; GO:0030229; GO:0034185; GO:0034189; GO:0034361; GO:0034436; GO:0034447; GO:0038025; GO:0038026; GO:0043235; GO:0045177; GO:0045202; GO:0048306; GO:0048471; GO:0048813; GO:0051963; GO:0071456; GO:0098978; GO:1900006
g20373	Q5VUG0	GO:0003682; GO:0003714; GO:0005634; GO:0005654; GO:0005829; GO:0010629; GO:0016235; GO:0016604; GO:0016607; GO:0042393; GO:0043231; GO:0045892
g20372	Q9JMD2	GO:0003682; GO:0003714; GO:0005634; GO:0005654; GO:0006325; GO:0007283; GO:0030154; GO:0042393; GO:0045892; GO:0048635
g17035	Q8CFY5	GO:0000266; GO:0004311; GO:0005730; GO:0005739; GO:0005759; GO:0005829; GO:0006629; GO:0006784; GO:0007005; GO:0008495; GO:0008535; GO:0009060; GO:0017004; GO:0031966; GO:0048034; GO:0070069
g17030	Q27433	GO:0005272; GO:0005886; GO:0006813; GO:0007638; GO:0009612; GO:0015485; GO:0032589; GO:0043005; GO:0050976; GO:1905789; GO:1905792
g17039	NA	NA
g16635	Q5R9G1	GO:0000151; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005886; GO:0010225; GO:0010332; GO:0010564; GO:0030308; GO:0031624; GO:0032182; GO:0043065; GO:0045116; GO:0048471; GO:0097602; GO:2000134; GO:2000434; GO:2000435; GO:2000436
g16630	B9EKI3	GO:0000139; GO:0001675; GO:0001819; GO:0003677; GO:0005634; GO:0005783; GO:0005794; GO:0006915; GO:0007286; GO:0007289; GO:0008584; GO:0010629; GO:0030317; GO:0030374; GO:0030521; GO:0032275; GO:0033327; GO:0042742; GO:0045944; GO:0050681; GO:0061136; GO:0071407; GO:1904019; GO:1904036; GO:2000845
g4967	Q5RFJ6	GO:0000139; GO:0004653; GO:0006493; GO:0030246; GO:0046872
g4966	Q5RFJ6	GO:0000139; GO:0004653; GO:0006493; GO:0030246; GO:0046872
g3468	Q9VBW3	GO:0004713; GO:0004714; GO:0005509; GO:0005524; GO:0005886; GO:0006468; GO:0007030; GO:0007156; GO:0016339; GO:0042060; GO:0043235; GO:0045177; GO:0045792; GO:0051897; GO:0090303
g3461	Q9Y6A2	GO:0005506; GO:0005783; GO:0005789; GO:0006699; GO:0006707; GO:0006805; GO:0007399; GO:0008395; GO:0016125; GO:0020037; GO:0030425; GO:0033781; GO:0042448; GO:0062184; GO:0098793; GO:0098794; GO:1900271; GO:1903044
g3465	Q9TXQ1	GO:0003950; GO:0005634; GO:0005694; GO:0005730; GO:0006302; GO:0006974; GO:0008630; GO:0010332; GO:0016779; GO:0043069; GO:1990404
g3464	NA	NA
g3467	NA	NA
g5708	Q5RB36	GO:0005634; GO:0016567; GO:0019005; GO:0031146; GO:0031466; GO:0031625; GO:0038026; GO:0090734; GO:0160072; GO:2001222
g5709	Q93034	GO:0000082; GO:0004842; GO:0005262; GO:0005634; GO:0005829; GO:0016567; GO:0019005; GO:0030674; GO:0031146; GO:0031466; GO:0031625; GO:0038023; GO:0038026; GO:0038128; GO:0043161; GO:0070979; GO:0090734; GO:0097193; GO:0160072; GO:2001222
g5703	Q7ZVB1	GO:0000815; GO:0005771; GO:0005829; GO:0015031; GO:0031902; GO:0032509; GO:0045324
g14671	Q5REV9	GO:0005436; GO:0005903; GO:0006817; GO:0016020; GO:0016324; GO:0030643; GO:0031402; GO:0031982; GO:0042301; GO:0044341
g14673	Q96CG8	GO:0001649; GO:0005109; GO:0005576; GO:0005581; GO:0005615; GO:0016528; GO:0017147; GO:0033687; GO:0033690; GO:0043932; GO:0045669; GO:0060071; GO:0060122; GO:0062023; GO:0090090; GO:0090103; GO:0090177
g14672	Q06496	GO:0001503; GO:0001822; GO:0005436; GO:0005768; GO:0005829; GO:0005886; GO:0005903; GO:0006817; GO:0007584; GO:0009100; GO:0009410; GO:0009986; GO:0010288; GO:0010467; GO:0016036; GO:0016323; GO:0016324; GO:0016607; GO:0030165; GO:0030505; GO:0030643; GO:0031526; GO:0031982; GO:0032026; GO:0032355; GO:0033189; GO:0035435; GO:0035864; GO:0042431; GO:0042802; GO:0043434; GO:0044341; GO:0044877; GO:0045838; GO:0046686; GO:0046689; GO:0046849; GO:0048471; GO:0055062; GO:0055074; GO:0060416; GO:0071107; GO:0071248; GO:0071374; GO:0072350; GO:0072686; GO:0072734; GO:0097066; GO:0097187; GO:0098719; GO:1901128; GO:1901652; GO:1901684; GO:1904383; GO:2000120; GO:2000187
g14679	Q90473	GO:0005524; GO:0005634; GO:0005730; GO:0005737; GO:0005765; GO:0005829; GO:0005886; GO:0016887; GO:0030674; GO:0031072; GO:0031101; GO:0040036; GO:0042026; GO:0044183; GO:0048260; GO:0051085; GO:0061740; GO:0072318; GO:0140662; GO:1902946
g14099	NA	NA
g14098	H2LBU8	GO:0003713; GO:0003714; GO:0005634; GO:0005737; GO:0005911; GO:0035329; GO:0045944
g23157	P80646	GO:0004252; GO:0005576; GO:0006508; GO:0007586
g18892	Q7SXP4	GO:0000380; GO:0003729; GO:0016607
g12132	Q96K62	GO:0000122; GO:0000978; GO:0001227; GO:0001817; GO:0002682; GO:0005654; GO:0007399; GO:0046872; GO:1990837
g19309	NA	NA
g19300	Q9X248	GO:0004316; GO:0030497; GO:0050661; GO:0051287
g19305	A3KN83	GO:0005634; GO:0006355; GO:0031490; GO:0042393
g2653	O75845	GO:0000248; GO:0005506; GO:0005789; GO:0016020; GO:0033489; GO:0033490; GO:0050046; GO:0110076
g22555	Q2TB10	GO:0003677; GO:0003700; GO:0005634; GO:0031018; GO:0046872; GO:0090425
g9909	Q91VY9	GO:0003676; GO:0005654; GO:0005730; GO:0005794; GO:0005829; GO:0008270; GO:0008631; GO:0030687; GO:0042273; GO:0043065; GO:0046330; GO:1990275
g8476	Q9H9E1	GO:0005634; GO:0005829; GO:0005856; GO:0010468; GO:0016020; GO:0019901; GO:0031625; GO:0032991; GO:0042826; GO:0043254; GO:0050750
g23200	NA	NA
g20574	Q8TCT0	GO:0000287; GO:0001729; GO:0005524; GO:0005737; GO:0005886; GO:0006672; GO:0006688; GO:0016020; GO:0102773
g20576	Q6UXH1	GO:0003756; GO:0005509; GO:0005615; GO:0005783; GO:0005794
g20570	NA	NA
g20573	Q55C17	GO:0005789; GO:0006694; GO:0016491; GO:0030497; GO:0042761; GO:0102758
g13843	Q969Y0	GO:0005576
g13849	O15042	GO:0003723; GO:0005634; GO:0005654; GO:0006396
g13848	Q5R7X2	GO:0003723; GO:0005634; GO:0006396
g4243	D3ZVP7	GO:0005768; GO:0005925; GO:0046872
g4245	Q5RAL9	GO:0000139; GO:0004343; GO:0005783; GO:0005793; GO:0006048; GO:0010008; GO:0042802; GO:0048029
g5540	Q9C0D7	GO:0003729; GO:0004521; GO:0005634; GO:0036464; GO:0046872
g5549	P18258	GO:0000226; GO:0000278; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0016787; GO:0046872
g11559	Q9NUQ8	GO:0005524; GO:0016020; GO:0016887; GO:0045296; GO:0051607
g11558	Q8K268	GO:0005524; GO:0016887; GO:0051607
g16203	NA	NA
g6154	NA	NA
g588	P80146	GO:0004252; GO:0005615; GO:0006508
g585	Q5ZLX2	GO:0003723; GO:0003743; GO:0005737; GO:0005829; GO:0005850; GO:0006413; GO:0010494; GO:0032057; GO:0033290; GO:0034198; GO:0034644; GO:0034976; GO:0036499; GO:0043022
g587	Q5F413	GO:0005096; GO:0005737; GO:0046872
g580	Q9V9J3	GO:0004713; GO:0004715; GO:0005102; GO:0005524; GO:0005737; GO:0005829; GO:0005886; GO:0007169; GO:0007391; GO:0007395; GO:0007411; GO:0007424; GO:0007435; GO:0007476; GO:0016477; GO:0030154; GO:0034332; GO:0036335; GO:0042059; GO:0042742; GO:0043277; GO:0045087; GO:0045742; GO:0045874; GO:0045886; GO:0046529; GO:0048167; GO:0048749; GO:0051017; GO:0070374; GO:0090136; GO:0106016
g2272	P56273	GO:0002039; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0006915; GO:0010468; GO:0016567; GO:0042802; GO:0043066; GO:0046872; GO:0051726; GO:0061630; GO:0065008
g2271	NA	NA
g2275	Q8VI75	GO:0000785; GO:0005634; GO:0005737; GO:0006606; GO:0008139; GO:0031267; GO:0042254; GO:0061608
g15465	P21328	GO:0003964
g15464	NA	NA
g15461	NA	NA
g15468	Q5E9C0	
g1290	Q5VYK3	GO:0000502; GO:0005634; GO:0005654; GO:0005737; GO:0005769; GO:0005770; GO:0005771; GO:0005783; GO:0005793; GO:0005813; GO:0016020; GO:0030134; GO:0030139; GO:0031410; GO:0036503; GO:0043248; GO:0060090; GO:0070628
g1291	NA	NA
g1293	Q8K0C1	GO:0005634; GO:0005737; GO:0006606; GO:0031267; GO:0035259
g1749	Q1JQC1	GO:0005764; GO:0005765; GO:0042803; GO:0050821; GO:0061462; GO:0141204; GO:0160178
g1745	NA	NA
g6215	NA	NA
g6214	Q5FWU8	GO:0005929; GO:0016324; GO:0034451; GO:0036158; GO:0036159; GO:0044458; GO:0046872; GO:0120293; GO:1905505
g23684	C9J069	GO:0005886; GO:0005912; GO:0005929; GO:0016324; GO:0043296; GO:0045216
g23509	Q00685	GO:0004866; GO:0005615; GO:0006954; GO:0006958; GO:0045087
g23508	NA	NA
g17247	P53396	GO:0003878; GO:0005524; GO:0005576; GO:0005654; GO:0005829; GO:0006085; GO:0006101; GO:0006107; GO:0006633; GO:0006695; GO:0008610; GO:0015936; GO:0016020; GO:0035578; GO:0046872; GO:0070062; GO:1904813
g17246	P49109	GO:0004031; GO:0004497; GO:0004499; GO:0005789; GO:0005829; GO:0006629; GO:0006805; GO:0047822; GO:0050660; GO:0050661; GO:0070995; GO:0090181; GO:0106294
g21213	Q5G266	GO:0004252; GO:0005886; GO:0006508; GO:0006887; GO:0030424; GO:0030425; GO:0043083; GO:0043195
g2078	Q6YHK3	GO:0001933; GO:0001942; GO:0004867; GO:0005576; GO:0005615; GO:0005829; GO:0005886; GO:0009986; GO:0010839; GO:0030512; GO:0031092; GO:0043616; GO:0045616; GO:0061045; GO:0072089; GO:0072675; GO:0098552; GO:2000647
g21211	Q96RW7	GO:0005201; GO:0005509; GO:0005604; GO:0005737; GO:0005912; GO:0005927; GO:0005938; GO:0007156; GO:0007157; GO:0007601; GO:0009617; GO:0030036; GO:0032154; GO:0051301; GO:0062023; GO:0070062; GO:0071711
g21210	G5ECS8	GO:0004222; GO:0005576; GO:0006508; GO:0030198; GO:0031012; GO:0046872
g2075	Q5R605	GO:0000776; GO:0000815; GO:0001778; GO:0005643; GO:0005765; GO:0005828; GO:0007080; GO:0015031; GO:0016363; GO:0030496; GO:0031468; GO:0032509; GO:0032585; GO:0039702; GO:0043162; GO:0045324; GO:0046761; GO:0061952; GO:0097352; GO:1901673; GO:1902774; GO:1904930
g2076	Q3T042	GO:0004521; GO:0005634; GO:0030490; GO:0030688; GO:0046872
g3038	Q6J1I7	GO:0000209; GO:0005737; GO:0006511; GO:0006914; GO:0045087; GO:0046872; GO:0061630
g3032	Q8BUJ9	GO:0001764; GO:0005886; GO:0005905; GO:0006897; GO:0031175
g3033	NA	NA
g12365	Q9SAL0	GO:0004842; GO:0005634; GO:0005737; GO:0005739; GO:0009611; GO:0009867; GO:0042742; GO:0046872
g12366	Q9N0C5	GO:0004797; GO:0005524; GO:0005739; GO:0071897; GO:1901135
g3205	Q5SZI1	GO:0016020
g14208	Q6NZK5	
g14204	NA	NA
g14207	O60244	GO:0003712; GO:0003713; GO:0005634; GO:0005654; GO:0006357; GO:0016020; GO:0016592; GO:0030374; GO:0032968; GO:0035019; GO:0042809; GO:0045893; GO:0045944; GO:0051123; GO:0060261; GO:0070847
g14200	E9Q286	GO:0000791; GO:0008023; GO:0015030; GO:0030674; GO:0031334; GO:0035363; GO:0042795; GO:0042796; GO:0045945; GO:0090316
g14203	NA	NA
g3200	D3YXS5	GO:0003777; GO:0005524; GO:0005871; GO:0005874; GO:0007005; GO:0007018; GO:0008017; GO:0016887; GO:0030705; GO:0031966; GO:0072384
g4250	Q8NFU1	GO:0005217; GO:0005254; GO:0005886; GO:0005929; GO:0007608; GO:0016323; GO:0034707; GO:0046872; GO:0051899; GO:0099094; GO:0099095; GO:0160133
g4026	Q9VT65	GO:0004198; GO:0005509; GO:0005737; GO:0006508; GO:0007298; GO:0016020; GO:0016322; GO:0016540
g4022	Q9VZI3	GO:0005178; GO:0005737; GO:0007160; GO:0007229; GO:0030055; GO:0048738; GO:0050829; GO:0050839
g4028	Q8SQC1	GO:0005044; GO:0005737; GO:0005886; GO:0005901; GO:0008289; GO:0016323; GO:0016324; GO:0030169; GO:0033344; GO:0034381; GO:0043654; GO:0045056; GO:0070506; GO:0070508
g11182	Q63085	GO:0001525; GO:0004114; GO:0004115; GO:0005783; GO:0005794; GO:0007162; GO:0016020; GO:0016525; GO:0019933; GO:0031018; GO:0032045; GO:0032869; GO:0042593; GO:0043422; GO:0043951; GO:0046872; GO:0047555; GO:0050796; GO:0050995; GO:0051219; GO:0061179
g11184	Q9UA35	GO:0005886; GO:0015389; GO:0015860; GO:0015864
g1637	Q6PC91	
g12985	Q14677	GO:0005543; GO:0005654; GO:0005768; GO:0005794; GO:0005829; GO:0005886; GO:0006897; GO:0016020; GO:0030125; GO:0030276; GO:0043231; GO:0045296; GO:0048268; GO:0048471
g5088	P29147	GO:0001889; GO:0003858; GO:0005543; GO:0005743; GO:0005759; GO:0007584; GO:0008202; GO:0009410; GO:0009636; GO:0009725; GO:0032355; GO:0032868; GO:0042594; GO:0043231; GO:0045471; GO:0046686; GO:0051412; GO:0060416; GO:0060612; GO:0099617
g5085	Q8R4P9	GO:0005524; GO:0006691; GO:0006869; GO:0008559; GO:0009925; GO:0015431; GO:0016020; GO:0016323; GO:0016887; GO:0042626; GO:0055085; GO:0071716; GO:0140359
g5086	Q5T3U5	GO:0005524; GO:0005765; GO:0005886; GO:0006691; GO:0006869; GO:0008559; GO:0009925; GO:0015431; GO:0016020; GO:0016323; GO:0016887; GO:0042626; GO:0043225; GO:0055085; GO:0071716; GO:0140359
g10279	P51049	GO:0004930; GO:0005886; GO:0007186; GO:0008502; GO:0048511
g10278	P51049	GO:0004930; GO:0005886; GO:0007186; GO:0008502; GO:0048511
