"","uniprot_accession"
"3473","Q9NRA2"
"3474","Q90Y54"
"3475","Q94637"
"3476","A1Z9E2"
"3477","Q6TFL4"
"3478","Q8NEA4"
"3479","O15550"
"3480","O15550"
"3481","Q9JLB5"
"3482","Q8NFW1"
"3483","Q95JI2"
"3484","Q5RF14"
"3485","Q7M370"
"3486","P41214"
"3487","Q1JQE6"
"3488","Q7M370"
"3489","Q58EA0"
"3490","Q8NDN9"
"3491","P41740"
"3492","B0BN95"
"3493","P46197"
"3494","P20594"
"3495","P20594"
"3496","O62763"
"3497","P21836"
"3498","P41214"
"3499","Q9NV56"
"3500","Q5F409"
"3501","E9Q286"
"3502","Q5R988"
"3503","O60244"
"3504","Q6NZK5"
"3505","Q9VUL9"
"3506","Q5F339"
"3507","Q7ZX53"
"3508","Q7ZX53"
"3509","Q8WW35"
"3510","O15068"
"3511","O15068"
"3512","O15068"
"3513","O15068"
"3514","Q63406"
"3515","Q9VCA2"
"3516","Q8BHN0"
"3517","P32007"
"3518","Q869Z0"
"3519","Q5R9E1"
"3520","P51817"
"3521","Q9DC37"
"3522","Q1JQC1"
"3523","Q6DHU8"
"3524","Q9JJ78"
"3525","Q32LD1"
"3526","A0A286QZ36"
"3527","P23352"
"3528","P23352"
"3529","Q8C0W1"
"3530","Q15386"
"3531","Q0MVN8"
"3532","Q9UBF6"
"3533","Q8BHJ5"
"3534","Q9QXL8"
"3535","Q56UJ5"
"3536","B1H2T2"
"3537","Q8BIK4"
"3538","Q9BZ29"
"3539","Q9BZ29"
"3540","Q9BZ29"
"3541","Q2M2T6"
"3542","Q63486"
"3543","Q9R087"
"3544","Q6GM59"
"3545","Q6P2X9"
"3546","P57788"
"3547","B6ZK77"
"3548","O18334"
"3549","Q5RAV6"
"3550","A8MUU9"
"3551","O60488"
"3552","Q00277"
"3553","Q9CWR1"
"3554","Q96PF2"
"3555","Q0P5B9"
"3556","Q9J569"
"3557","Q7T1N4"
"3558","Q708S7"
"3559","Q708S6"
"3560","Q1XA76"
"3561","Q16515"
"3562","Q708S6"
"3563","Q00277"
"3564","Q02368"
"3565","Q7T1N4"
"3566","Q708S4"
"3567","Q7M757"
"3568","B5X8M4"
"3569","Q86X83"
"3570","P32609"
"3571","P46627"
"3572","P30939"
"3573","A6BMK7"
"3574","D4ADY9"
"3575","P97872"
"3576","Q9Y376"
"3577","P91891"
"3578","Q01887"
"3579","Q01887"
"3580","Q6AYT4"
"3581","Q2EI20"
"3582","P12259"
"3583","P47791"
"3584","Q5RDQ3"
"3585","P35521"
"3586","Q5EA91"
"3587","Q5U3C3"
"3588","Q7ZXB1"
"3589","Q61881"
"3590","Q3ZBH9"
"3591","O14936"
"3592","O14936"
"3593","Q6XQG9"
"3594","Q96WV6"
"3595","E7F7V7"
"3596","Q9N126"
"3597","Q9QXE5"
"3598","Q561X3"
"3599","O60573"
"3600","Q6QBQ4"
"3601","Q96WV6"
"3602","Q0IIF7"
"3603","Q2YDJ8"
"3604","Q2TBI2"
"3605","Q96WV6"
"3606","O73787"
"3607","O73787"
"3608","P58854"
"3609","Q8N6F8"
"3610","O64411"
"3611","Q0J290"
"3612","P50532"
"3613","B0XK69"
"3614","A6QP05"
"3615","P32007"
"3616","Q8R066"
"3617","Q8R066"
"3618","Q8BZE1"
"3619","Q9BXJ3"
"3620","Q9R062"
"3621","P13280"
"3622","Q7Z5U6"
"3623","F1M3J4"
"3624","E9Q236"
"3625","D3ZIE4"
"3626","A4IF63"
"3627","Q13325"
"3628","Q17LW0"
"3629","Q6DDL7"
"3630","Q58EX2"
"3631","Q9I3S3"
"3632","Q9NUN7"
"3633","Q9VGA4"
"3634","Q9QXX8"
"3635","B7P877"
"3636","Q15700"
"3637","P54802"
"3638","Q3SRI1"
"3639","Q5HZA9"
"3640","Q7Z449"
"3641","Q2KMM2"
"3642","Q8BTM8"
"3643","Q9VEN1"
"3644","Q9VEN1"
"3645","Q17LW0"
"3646","Q17LW0"
"3647","P56520"
"3648","P97479"
"3649","Q16594"
"3650","Q9EP97"
"3651","Q6GPF3"
"3652","Q28927"
"3653","B4F6W9"
"3654","Q8VDR7"
"3655","Q9NR80"
"3656","Q9NR80"
"3657","A2VDD2"
"3658","E9Q309"
"3659","Q91857"
"3660","Q4VCS5"
"3661","F4HYF3"
"3662","Q6ZHE5"
"3663","F4HYF3"
"3664","Q6NUB2"
"3665","Q54U75"
"3666","Q1T769"
"3667","Q99P88"
"3668","Q8NFT8"
"3669","B0BNE5"
"3670","P05165"
"3671","Q93008"
"3672","Q9D0B5"
"3673","F1QLP1"
"3674","Q02338"
"3675","Q96J65"
"3676","A2VDD2"
"3677","Q9R1X5"
"3678","Q9R1X5"
"3679","P56377"
"3680","P55863"
"3681","Q04892"
"3682","Q0V9R4"
"3683","P0CK98"
"3684","O95816"
"3685","Q5RJI4"
"3686","O35344"
"3687","Q32TF8"
"3688","Q9VCA2"
"3689","P39598"
"3690","O70497"
"3691","Q8SQC1"
"3692","P81908"
"3693","Q28J82"
"3694","Q9BXA6"
"3695","Q8K245"
"3696","Q5XGI5"
"3697","Q80VI1"
"3698","Q7TT28"
"3699","Q80VI1"
"3700","Q96P53"
"3701","Q8VEL0"
"3702","Q8WTR4"
"3703","O08726"
"3704","Q9CX98"
"3705","P20678"
"3706","P12938"
"3707","P35346"
"3708","Q7TT28"
"3709","Q7TT28"
"3710","F6UA42"
"3711","Q52N47"
"3712","F4JE35"
"3713","F4JE35"
"3714","F4JE35"
"3715","Q5SDA5"
"3716","A8XKV0"
"3717","Q22460"
"3718","Q7SZS2"
"3719","P49287"
"3720","Q12719"
"3721","Q6WN34"
"3722","Q5ZK28"
"3723","A4K526"
"3724","Q9Y388"
"3725","Q6C4G1"
"3726","Q8N6S4"
"3727","Q5T200"
"3728","Q2TA45"
"3729","Q8BUZ3"
"3730","A4QP81"
"3731","Q09426"
"3732","Q9VCA2"
"3733","Q9WTW5"
"3734","Q8N6S4"
"3735","Q5U4S8"
"3736","Q9VCA2"
"3737","D2YVK5"
"3738","D2YVH7"
"3739","O95470"
"3740","O95470"
"3741","Q9I8I2"
"3742","Q8VI56"
"3743","P23806"
"3744","P23787"
"3745","P39963"
"3746","Q8C1D8"
"3747","Q5REY7"
"3748","Q8BGC9"
"3749","Q8N6F8"
"3750","Q8WPD0"
"3751","Q9NP71"
"3752","A2A432"
"3753","P0C2W1"
"3754","Q32PD8"
"3755","O88545"
"3756","Q62623"
"3757","Q9D099"
"3758","Q9D099"
"3759","Q9D099"
"3760","Q9DB72"
"3761","Q66HG5"
"3762","Q66HG5"
"3763","B2RX14"
"3764","Q9NRA2"
"3765","Q96DM1"
"3766","Q04202"
"3767","O76555"
"3768","B2RX14"
"3769","Q9ULC3"
"3770","Q8WXA9"
"3771","P48319"
"3772","P18293"
"3773","A1ZAX0"
"3774","Q6AXL5"
"3775","Q9JJ22"
"3776","Q9JJ22"
"3777","Q5VXU9"
"3778","Q8NDZ4"
"3779","P20469"
"3780","P20469"
"3781","Q8TCJ2"
"3782","A7MB63"
"3783","O43638"
"3784","Q5R4G6"
"3785","Q91ZR3"
"3786","Q91ZR3"
"3787","P86854"
"3788","Q55CB8"
"3789","Q66IC8"
"3790","E2QRY6"
"3791","B2RRL2"
"3792","Q96CT2"
"3793","Q8N2Y8"
"3794","Q8N695"
"3795","Q9Y2W6"
"3796","Q969G6"
"3797","Q99N94"
"3798","Q9H0A8"
"3799","Q9H3R0"
"3800","Q9CZN7"
"3801","Q99K85"
"3802","Q28C98"
"3803","Q28C98"
"3804","Q28C98"
"3805","Q92828"
"3806","Q8HY67"
"3807","Q8HY67"
"3808","O60678"
"3809","O75534"
"3810","Q13332"
"3811","P24712"
"3812","Q9ESQ4"
"3813","Q10751"
"3814","P12820"
"3815","Q5RBZ6"
"3816","P78383"
"3817","Q805E5"
"3818","Q6DIB5"
"3819","Q64709"
"3820","P23588"
"3821","Q3ZBL4"
"3822","E9QAU8"
"3823","Q5BJV9"
"3824","Q6P824"
"3825","A0JNI1"
"3826","A0JNI1"
"3827","Q0IJ01"
"3828","P49165"
"3829","P00639"
"3830","Q9D1G0"
"3831","Q6GNV7"
"3832","Q6GNV7"
"3833","Q61982"
"3834","Q9QXX0"
"3835","E9PTA2"
"3836","A7T1N0"
"3837","A7T1N0"
"3838","A7T1N0"
"3839","A7T1N0"
"3840","P31937"
"3841","P31937"
"3842","Q9C0E8"
"3843","Q14696"
"3844","Q60520"
"3845","Q60520"
"3846","Q60520"
"3847","Q6DCH7"
"3848","P04058"
"3849","P81908"
"3850","Q92035"
"3851","P81908"
"3852","Q5UR02"
"3853","P81908"
"3854","O42275"
"3855","Q05481"
"3856","Q869C3"
"3857","P21836"
"3858","P21836"
"3859","P21836"
"3860","O62760"
"3861","P21836"
"3862","P81908"
"3863","Q5NVK7"
"3864","Q5NVK7"
"3865","Q5U3W3"
"3866","Q9D4H9"
"3867","Q9D4H9"
"3868","Q6PBH5"
"3869","P14618"
"3870","Q6NS52"
"3871","Q6NS52"
"3872","Q6NS52"
"3873","Q9HAB8"
"3874","Q9HAB8"
"3875","Q04467"
"3876","Q13423"
"3877","Q4R6V2"
"3878","A0A1B0GTD5"
"3879","E1BD52"
"3880","Q9H330"
"3881","O15541"
"3882","P22897"
"3883","P61644"
"3884","P18293"
"3885","Q8VCH8"
"3886","Q2KHY7"
"3887","Q6A044"
"3888","Q921J2"
"3889","Q922E6"
"3890","Q9ULY5"
"3891","P0C6F1"
"3892","O75192"
"3893","Q9WVK3"
"3894","Q13873"
"3895","Q9H269"
"3896","Q920Q4"
"3897","Q90YK5"
"3898","Q9VCA2"
"3899","Q9VCA2"
"3900","Q96PH1"
"3901","Q96PH1"
"3902","Q8IYE1"
"3903","Q9ULF5"
"3904","Q2HJ10"
"3905","Q9VCA2"
"3906","Q562C7"
"3907","Q80V94"
"3908","Q80V94"
"3909","Q2KJF9"
"3910","Q8CDN6"
"3911","P18264"
"3912","Q9QZW9"
"3913","Q8N565"
"3914","Q9ZSJ0"
"3915","A0A1B0GUY1"
"3916","Q5REV9"
"3917","Q06496"
"3918","Q96CG8"
"3919","Q96CG8"
"3920","Q96CG8"
"3921","Q8BLB8"
"3922","Q90473"
"3923","P50430"
"3924","P19378"
"3925","Q8BGF9"
"3926","Q4QQV8"
"3927","Q66PG4"
"3928","O08839"
"3929","Q2VWP7"
"3930","Q28DE0"
"3931","Q71U34"
"3932","Q9UGM3"
"3933","Q16706"
"3934","Q16706"
"3935","Q8BIW1"
"3936","Q0IHU9"
"3937","Q0IHU9"
"3938","Q8BZH4"
"3939","O15182"
"3940","Q00322"
"3941","Q99J45"
"3942","Q54KZ0"
"3943","P80912"
"3944","P35280"
"3945","Q5U316"
"3946","Q3T0B7"
"3947","Q61488"
"3948","Q92000"
"3949","P47748"
"3950","Q6NV18"
"3951","Q6P316"
"3952","Q6P316"
"3953","Q1L8G7"
"3954","Q6ZNB7"
"3955","A0JPQ8"
"3956","Q7ZUB3"
"3957","Q32KP1"
"3958","P34275"
"3959","Q28D99"
"3960","Q96M20"
"3961","Q8R344"
"3962","P23437"
"3963","Q5ZL42"
"3964","Q5R4M2"
"3965","Q5XIE6"
"3966","A2VDC2"
"3967","A2VDC2"
"3968","Q9Y2H0"
"3969","Q28ZA9"
"3970","A9KNW4"
"3971","Q61542"
"3972","Q9BRZ2"
"3973","Q9R1R2"
"3974","P31335"
"3975","P31335"
"3976","Q96IG2"
"3977","Q5RDE3"
"3978","Q5PQQ9"
"3979","Q92547"
"3980","Q92547"
"3981","Q969G3"
"3982","Q56A18"
"3983","A1A4L0"
"3984","P29294"
"3985","Q90999"
"3986","Q66I06"
"3987","Q9UKY7"
"3988","Q8BFP9"
"3989","Q64536"
"3990","Q297V5"
"3991","Q3ULD5"
"3992","A0A1L8H0H2"
"3993","Q2KIC2"
"3994","A0JPF9"
"3995","Q6VYA3"
"3996","P92523"
"3997","Q8MYF2"
"3998","Q9GPR3"
"3999","Q9GPR3"
"4000","P10079"
"4001","Q3TZZ7"
"4002","Q3TZZ7"
"4003","P79098"
"4004","P79098"
"4005","P79098"
"4006","P15145"
"4007","P15145"
"4008","A4QP81"
"4009","P79098"
"4010","P15145"
"4011","O88854"
"4012","Q9W0A0"
"4013","Q96HA9"
"4014","Q02224"
"4015","Q5RK28"
"4016","A4QP81"
"4017","A1A5G0"
"4018","A1A5G0"
"4019","A1A5G0"
"4020","Q811S7"
"4021","Q6DGF4"
"4022","Q61830"
"4023","O88487"
"4024","O88487"
"4025","O70277"
"4026","P53395"
"4027","P10079"
"4028","P10079"
"4029","Q9QW30"
"4030","P10079"
"4031","P10079"
"4032","P46109"
"4033","Q5RKH6"
"4034","Q9HCD6"
"4035","F1LTE0"
"4036","F1LTE0"
"4037","F1N2W9"
"4038","Q8BQC8"
"4039","Q95168"
"4040","Q07157"
"4041","Q07157"
"4042","P15336"
"4043","P15336"
"4044","Q6INU7"
"4045","Q8R242"
"4046","Q80T91"
"4047","A0JM12"
"4048","Q80V70"
"4049","Q80T91"
"4050","O00442"
"4051","A7T1N0"
"4052","A7T1N0"
"4053","A9MH27"
"4054","Q5G266"
"4055","Q920D2"
"4056","P00378"
"4057","Q3U0L2"
"4058","A1ZAX0"
"4059","Q9D7H3"
"4060","Q8N865"
"4061","Q8N865"
"4062","Q6AYM0"
"4063","Q1KKS3"
"4064","P0C1Q2"
"4065","Q56232"
"4066","Q09325"
"4067","P22897"
"4068","Q5M9G1"
"4069","Q9W6C5"
"4070","Q9W6C5"
"4071","P27545"
"4072","A0A140LIJ0"
"4073","Q5BJJ5"
"4074","Q3U1G5"
"4075","Q9CR41"
"4076","P00430"
"4077","Q80YR5"
"4078","Q14151"
"4079","Q5F3Z7"
"4080","Q9BRT3"
"4081","Q9BRT3"
"4082","P54357"
"4083","Q96BD0"
"4084","P0CG36"
"4085","Q2TBI6"
"4086","P25787"
"4087","Q91717"
"4088","P02454"
"4089","O93484"
"4090","P02460"
"4091","Q99848"
"4092","Q8K2A1"
"4093","Q8K2A1"
"4094","Q9H3S4"
"4095","Q9H3S4"
"4096","Q962X7"
"4097","Q53TQ3"
"4098","Q8CBE3"
"4099","Q91ZS8"
"4100","Q8BP00"
"4101","Q9YGN6"
"4102","Q1KKZ1"
"4103","Q1KKZ1"
"4104","F1P3Y5"
"4105","Q5R6X7"
"4106","Q8BMN4"
"4107","Q9BZE4"
"4108","P20333"
"4109","O43586"
"4110","Q6DFB7"
"4111","A5YM72"
"4112","P06027"
"4113","Q6UXS0"
"4114","Q5RBT2"
"4115","C9JQI7"
"4116","Q5K6N0"
"4117","P16453"
"4118","Q8TAK5"
"4119","P59480"
"4120","Q91579"
"4121","Q91579"
"4122","Q91579"
"4123","Q91579"
"4124","P40818"
"4125","Q6DG60"
"4126","Q9R1K5"
"4127","P0CT40"
"4128","Q5SUV2"
"4129","Q5SUV2"
"4130","P70566"
"4131","Q9R1K5"
"4132","A2AWT3"
"4133","O02751"
"4134","Q8CE72"
"4135","Q9P258"
"4136","Q91ZR4"
"4137","Q8WVS4"
"4138","Q7YS91"
"4139","Q0MQB1"
"4140","Q99081"
"4141","Q62655"
"4142","Q99PL5"
"4143","P70550"
"4144","Q8N695"
"4145","A7MBD8"
"4146","Q8MTI2"
"4147","Q7SYH5"
"4148","P57721"
"4149","P57722"
"4150","Q9UGU5"
"4151","Q1LUK1"
"4152","A0JM12"
"4153","A0JM12"
"4154","P22129"
"4155","Q9SYM5"
"4156","Q95SX7"
"4157","P17542"
"4158","E9Q4F2"
"4159","Q1LZ71"
"4160","Q1LZ71"
"4161","Q8JIU7"
"4162","Q9R0G7"
"4163","Q92609"
"4164","Q92609"
"4165","O88967"
"4166","Q9NVV4"
"4167","Q7ZW86"
"4168","Q8IS64"
"4169","Q9R111"
"4170","Q07929"
"4171","P53808"
"4172","P97275"
"4173","E9PYK3"
"4174","Q61830"
"4175","P22897"
"4176","Q6FSB1"
"4177","Q9H5L6"
"4178","A7X406"
"4179","Q61830"
"4180","Q32P51"
"4181","Q6PGZ3"
"4182","Q6PGZ3"
"4183","Q6PGZ3"
"4184","Q6PGZ3"
"4185","Q5XIN3"
"4186","Q96JE9"
"4187","P22897"
"4188","Q5E9A5"
"4189","Q96DM1"
"4190","Q6PF21"
"4191","P22897"
"4192","Q61830"
"4193","P10079"
"4194","Q8BZ39"
"4195","Q9DAG6"
"4196","P00639"
"4197","Q9GNE2"
"4198","B2GV87"
"4199","O75899"
"4200","O75899"
"4201","Q9HCE0"
"4202","Q9HCE0"
"4203","Q9HCE0"
"4204","Q9H1K6"
"4205","Q9H792"
"4206","Q5ZKF4"
"4207","Q5ZKF4"
"4208","Q02241"
"4209","Q02241"
"4210","B2GV87"
"4211","Q9D3W5"
"4212","Q0D4Z6"
"4213","Q0D4Z6"
"4214","Q0D4Z6"
"4215","Q0D4Z6"
"4216","Q9ERH3"
"4217","Q5NVI9"
"4218","Q9UNS1"
"4219","Q03400"
"4220","P56476"
"4221","P49217"
"4222","Q2TAA2"
"4223","Q498R3"
"4224","P23640"
"4225","Q9Y3E1"
"4226","Q15742"
"4227","O95996"
"4228","O95996"
"4229","Q02290"
"4230","Q61315"
"4231","P25054"
"4232","A5PKH3"
"4233","P70451"
"4234","B7Q290"
"4235","Q9DBC0"
"4236","Q4KML4"
"4237","Q03400"
"4238","Q96P47"
"4239","O08836"
"4240","Q96PH1"
"4241","A3KMI0"
"4242","A3KMI0"
"4243","Q6GNV7"
"4244","Q6GNV7"
"4245","Q15485"
"4246","Q15485"
"4247","Q6GNV7"
"4248","Q6GNV7"
"4249","Q6GNV7"
"4250","Q6GNV7"
"4251","Q3SZA2"
"4252","Q80T91"
"4253","A4IGM4"
"4254","A0JM12"
"4255","P12375"
"4256","O88281"
"4257","Q502L1"
"4258","Q502L1"
"4259","Q9DE13"
"4260","Q9DE13"
"4261","Q9UIF8"
"4262","Q9UIF8"
"4263","Q9UIF8"
"4264","Q9UIF8"
"4265","Q9UIF8"
"4266","Q9UIF8"
"4267","Q7ZUA6"
"4268","Q9NQR9"
"4269","Q5ZMD2"
"4270","Q8CI43"
"4271","Q9Y2M2"
"4272","Q9QZM5"
"4273","O93479"
"4274","Q90669"
"4275","O88665"
"4276","O88665"
"4277","Q9Y6N5"
"4278","Q9DCR2"
"4279","Q96EN8"
"4280","A2VD33"
"4281","Q6DJ13"
"4282","Q13416"
"4283","Q923L3"
"4284","Q80T79"
"4285","P30937"
"4286","Q8IV35"
"4287","Q8IV35"
"4288","Q8IV35"
"4289","Q8IV35"
"4290","Q641X2"
"4291","Q5BJZ6"
"4292","Q8N4J0"
"4293","Q8VDR5"
"4294","Q9C5D2"
"4295","P15145"
"4296","O57579"
"4297","P79143"
"4298","Q0KIA2"
"4299","P15145"
"4300","Q08AY6"
"4301","Q22795"
"4302","Q9QXM0"
"4303","P35760"
"4304","Q15262"
"4305","F1R8P4"
"4306","F1R8P4"
"4307","Q8N0X2"
"4308","Q9Y2M2"
"4309","F8WLE0"
"4310","F8WLE0"
"4311","Q8HYI9"
"4312","Q148G7"
"4313","Q01617"
"4314","Q01617"
"4315","P35590"
"4316","P27544"
"4317","Q00534"
"4318","Q6P1K1"
"4319","O55035"
"4320","P79769"
"4321","Q4R5T4"
"4322","P35590"
"4323","Q9QXF7"
"4324","Q9GL24"
"4325","Q9QXF7"
"4326","Q9QXF7"
"4327","Q9QXF7"
"4328","P34992"
"4329","Q05AQ3"
"4330","Q96GE6"
"4331","Q9YI97"
"4332","Q96MB7"
"4333","O75191"
"4334","O75191"
"4335","Q6P6T4"
"4336","Q9I9K9"
"4337","Q6PH19"
"4338","Q8C2L6"
"4339","Q6GLC5"
"4340","P10070"
"4341","Q0IIF6"
"4342","P21329"
"4343","E9QJQ6"
"4344","Q6DIB5"
"4345","Q9Y6H5"
"4346","P10394"
"4347","Q62432"
"4348","P84023"
"4349","Q90YG6"
"4350","Q9W734"
"4351","P07898"
"4352","Q5ZLW3"
"4353","P22897"
"4354","Q5RFL2"
"4355","Q80ZQ5"
"4356","Q99LM2"
"4357","Q96JB5"
"4358","Q96C28"
"4359","O75899"
"4360","H2L0Q3"
"4361","G5ECB2"
"4362","P49283"
"4363","Q9C0G6"
"4364","Q9C0G6"
"4365","Q9C0G6"
"4366","Q9C0G6"
"4367","Q9C0G6"
"4368","Q9C0G6"
"4369","Q9C0G6"
"4370","B0V2N1"
"4371","Q9C0G6"
"4372","Q9VEN1"
"4373","Q2TAA2"
"4374","P28024"
"4375","A4IJ21"
"4376","Q15906"
"4377","Q3SYW9"
"4378","O74180"
"4379","Q00725"
"4380","Q02858"
"4381","Q8N2E2"
"4382","Q9JI03"
"4383","Q69ZS6"
"4384","E1BNS0"
"4385","Q96AT9"
"4386","Q5ZI74"
"4387","P82198"
"4388","Q8IZJ3"
"4389","Q9WUU9"
"4390","Q3U269"
"4391","P31696"
"4392","P31696"
"4393","Q02858"
"4394","Q6ZUX7"
"4395","A0A2R8QP51"
"4396","Q4V8A6"
"4397","Q9D0F3"
"4398","P97471"
"4399","Q02858"
"4400","Q06806"
"4401","Q7TQK0"
"4402","Q7TQK0"
"4403","Q2NL14"
"4404","Q9Z1G4"
"4405","Q5R422"
"4406","Q06806"
"4407","P35590"
"4408","Q8AVM5"
"4409","Q9Z1G4"
"4410","Q94887"
"4411","Q5RD64"
"4412","P23508"
"4413","P23508"
"4414","Q6P859"
"4415","P43935"
"4416","Q7ZY18"
"4417","Q9Y2R0"
"4418","Q9ASR4"
"4419","P35590"
"4420","Q8VHI3"
"4421","Q8VHI3"
"4422","Q8VHI3"
"4423","P42229"
"4424","P42229"
"4425","P42229"
"4426","P50170"
"4427","Q14674"
"4428","P60330"
"4429","Q14674"
"4430","Q06806"
"4431","O43822"
"4432","O43822"
"4433","P18910"
"4434","P26797"
"4435","Q5M7D4"
"4436","E7F211"
"4437","A0ZSK3"
"4438","A0A2P1BRQ0"
"4439","A0A2P1BRQ0"
"4440","Q6V4S5"
"4441","A0A2P1BRQ0"
"4442","A0ZSK4"
"4443","A0A2P1BRQ0"
"4444","A0A2P1BRQ0"
"4445","Q64487"
"4446","Q04652"
"4447","Q6P2X9"
"4448","B1AT66"
"4449","P16157"
"4450","B1AT66"
"4451","P80146"
"4452","Q4N4N8"
"4453","Q9Y5Q5"
"4454","Q9Y5Q5"
"4455","Q9Y251"
"4456","Q922B2"
"4457","Q9GYQ4"
"4458","Q99M80"
"4459","Q9GYQ4"
"4460","Q9GYQ4"
"4461","P18910"
"4462","Q9GYQ4"
"4463","N1NVB7"
"4464","Q9GYQ4"
"4465","Q23310"
"4466","Q9GYQ4"
"4467","P18910"
"4468","P16066"
"4469","Q2YDJ8"
"4470","P18910"
"4471","Q8BZ39"
"4472","A1L1K4"
"4473","A2A6C4"
"4474","Q9UBS5"
"4475","Q9TU53"
"4476","Q8NEZ4"
"4477","Q8NEZ4"
"4478","Q8NEZ4"
"4479","Q8NEZ4"
"4480","Q8BG39"
"4481","Q99PL6"
"4482","Q9BZV1"
"4483","A1L162"
"4484","A1L162"
"4485","A1L162"
"4486","Q9QZN1"
"4487","Q80U04"
"4488","Q61555"
"4489","Q61555"
"4490","P35604"
"4491","P07476"
"4492","Q5ZL67"
"4493","Q5ZL67"
"4494","Q6ZQE4"
"4495","Q4KMD7"
"4496","Q06805"
"4497","Q29J90"
"4498","O15973"
"4499","O43242"
"4500","Q14847"
"4501","Q14847"
"4502","Q6P135"
"4503","Q1HQK8"
"4504","Q9WV74"
"4505","Q23915"
"4506","Q23915"
"4507","Q9UKJ3"
"4508","A2A6A1"
"4509","O73791"
"4510","Q07981"
"4511","Q96DP5"
"4512","Q9Y490"
"4513","Q9Y490"
"4514","Q9Y490"
"4515","Q9Y490"
"4516","Q9Y490"
"4517","P54939"
"4518","P26039"
"4519","Q5T2R2"
"4520","Q33DR2"
"4521","Q9W0A0"
"4522","Q15032"
"4523","O60921"
"4524","O95045"
"4525","O61309"
"4526","Q60519"
"4527","Q60519"
"4528","Q6PDG5"
"4529","Q6PDG5"
"4530","Q8TAQ2"
"4531","Q8TAQ2"
"4532","Q5FVN8"
"4533","Q6V0I7"
"4534","O14522"
"4535","A1DWM3"
"4536","Q9K7A0"
"4537","P16884"
"4538","Q61458"
"4539","Q99973"
"4540","O08653"
"4541","Q99973"
"4542","Q9C098"
"4543","Q01063"
"4544","Q99755"
"4545","Q059Y8"
"4546","Q32MH5"
"4547","Q32MH5"
"4548","Q1LV22"
"4549","Q5FW46"
"4550","Q8N6V9"
"4551","Q9D845"
"4552","Q01063"
"4553","Q2EG98"
"4554","Q26627"
"4555","O08852"
"4556","Q2VWP7"
"4557","Q2VWP7"
"4558","Q6INC1"
"4559","Q7Z4L5"
"4560","P97798"
"4561","P97798"
"4562","P97603"
"4563","P97603"
"4564","P97603"
"4565","D3ZVV1"
"4566","Q9NPH0"
"4567","Q9H0J4"
"4568","Q9H0J4"
"4569","Q9VCA2"
"4570","O57478"
"4571","Q93073"
"4572","Q93073"
"4573","Q9Y2P0"
"4574","Q6P3P1"
"4575","Q6P3P1"
"4576","P38977"
"4577","P33005"
"4578","Q7Z3B3"
"4579","Q66H56"
"4580","Q66H56"
"4581","Q9DAA6"
"4582","Q8CFD5"
"4583","A2AG06"
"4584","Q91WN1"
"4585","P57756"
"4586","A8MV24"
"4587","P56179"
"4588","Q04896"
"4589","Q32P65"
"4590","Q4VBS4"
"4591","P09241"
"4592","P02707"
"4593","Q3UVD5"
"4594","Q6IRU7"
"4595","P28271"
"4596","Q9VBW3"
"4597","A0A0R4IVA4"
"4598","Q5F479"
"4599","Q5F479"
"4600","Q5F479"
"4601","P21328"
"4602","Q5NVQ1"
"4603","Q9ASR4"
"4604","Q5E9C0"
"4605","Q5M939"
"4606","A0A0R4IVA4"
"4607","A0A0R4IVA4"
"4608","Q9V9S7"
"4609","Q8BY71"
"4610","Q5RBC8"
"4611","Q9CRA4"
"4612","Q6GL69"
"4613","Q8T773"
"4614","Q54VC0"
"4615","Q8T773"
"4616","Q54VC0"
"4617","Q8T773"
"4618","Q8SQZ4"
"4619","Q9V9S7"
"4620","Q9H0J4"
"4621","Q9IA12"
"4622","P24340"
"4623","P10179"
"4624","P10179"
"4625","O35870"
"4626","P13545"
"4627","P09077"
"4628","P06798"
"4629","Q3V5Z9"
"4630","Q8N3Y7"
"4631","Q6DIC0"
"4632","P31246"
"4633","Q08821"
"4634","P50476"
"4635","P34147"
"4636","E7F7V7"
"4637","Q6DIC0"
"4638","Q6DIC0"
"4639","Q9FIL7"
"4640","D3Z902"
"4641","Q8VBV4"
"4642","Q9I9P9"
"4643","Q9ESF4"
"4644","P52917"
"4645","J9PAS6"
"4646","Q5H8C4"
"4647","Q5H8C4"
"4648","Q5H8C4"
"4649","A1Z713"
"4650","Q8C9X6"
"4651","A8JR92"
"4652","B1AYB6"
"4653","Q7ZYJ9"
"4654","E7FDB3"
"4655","E7FDB3"
"4656","Q6P8G1"
"4657","Q6ZQT0"
"4658","P05090"
"4659","P10730"
"4660","P16067"
"4661","P70180"
"4662","P16066"
"4663","Q9UPZ6"
"4664","Q9UPZ6"
"4665","O75382"
"4666","Q5NVL7"
"4667","A7MBS7"
"4668","P46735"
"4669","O43795"
"4670","Q5RAK3"
"4671","O43314"
"4672","O43314"
"4673","Q5R733"
"4674","Q54X73"
"4675","O75051"
"4676","Q9N0P9"
"4677","P05423"
"4678","P35520"
"4679","Q7TSU7"
"4680","Q7TSU7"
"4681","Q02858"
"4682","O88278"
"4683","Q9HCN4"
"4684","Q61212"
"4685","Q9CQT2"
"4686","Q8NDA2"
"4687","Q8NDA2"
"4688","Q80Y83"
"4689","Q80Y83"
"4690","Q9VBW3"
"4691","Q03164"
"4692","P08575"
"4693","Q03164"
