Assembly Accession	Assembly Unplaced Count	Assembly-unit accession	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count
GCA_032158295.1		Primary Assembly	Un			JASTWB010000265.1	Chromosome			unplaced-scaffold	26831		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000266.1	Chromosome			unplaced-scaffold	26804		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000267.1	Chromosome			unplaced-scaffold	26646		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000268.1	Chromosome			unplaced-scaffold	26635		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000269.1	Chromosome			unplaced-scaffold	26523		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000270.1	Chromosome			unplaced-scaffold	26504		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000271.1	Chromosome			unplaced-scaffold	26497		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000272.1	Chromosome			unplaced-scaffold	26399		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000273.1	Chromosome			unplaced-scaffold	26362		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000274.1	Chromosome			unplaced-scaffold	26359		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000275.1	Chromosome			unplaced-scaffold	26328		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000276.1	Chromosome			unplaced-scaffold	26301		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000277.1	Chromosome			unplaced-scaffold	26257		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000278.1	Chromosome			unplaced-scaffold	26209		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000279.1	Chromosome			unplaced-scaffold	26059		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000280.1	Chromosome			unplaced-scaffold	26002		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000281.1	Chromosome			unplaced-scaffold	25995		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000282.1	Chromosome			unplaced-scaffold	25869		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000283.1	Chromosome			unplaced-scaffold	25829		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000284.1	Chromosome			unplaced-scaffold	25826		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000285.1	Chromosome			unplaced-scaffold	25479		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000286.1	Chromosome			unplaced-scaffold	25457		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000287.1	Chromosome			unplaced-scaffold	25447		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000288.1	Chromosome			unplaced-scaffold	25441		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000289.1	Chromosome			unplaced-scaffold	25366		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000290.1	Chromosome			unplaced-scaffold	25350		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000291.1	Chromosome			unplaced-scaffold	25337		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000292.1	Chromosome			unplaced-scaffold	25175		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000293.1	Chromosome			unplaced-scaffold	25148		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000294.1	Chromosome			unplaced-scaffold	25147		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000295.1	Chromosome			unplaced-scaffold	25118		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000296.1	Chromosome			unplaced-scaffold	24953		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000297.1	Chromosome			unplaced-scaffold	24916		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000298.1	Chromosome			unplaced-scaffold	24844		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000299.1	Chromosome			unplaced-scaffold	24781		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000300.1	Chromosome			unplaced-scaffold	24741		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000301.1	Chromosome			unplaced-scaffold	24514		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000302.1	Chromosome			unplaced-scaffold	24463		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000303.1	Chromosome			unplaced-scaffold	24413		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000304.1	Chromosome			unplaced-scaffold	24280		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000305.1	Chromosome			unplaced-scaffold	24273		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000306.1	Chromosome			unplaced-scaffold	24251		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000307.1	Chromosome			unplaced-scaffold	24198		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000308.1	Chromosome			unplaced-scaffold	24150		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000309.1	Chromosome			unplaced-scaffold	24113		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000310.1	Chromosome			unplaced-scaffold	24049		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000311.1	Chromosome			unplaced-scaffold	24042		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000312.1	Chromosome			unplaced-scaffold	23985		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000313.1	Chromosome			unplaced-scaffold	23974		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000314.1	Chromosome			unplaced-scaffold	23968		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000315.1	Chromosome			unplaced-scaffold	23946		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000316.1	Chromosome			unplaced-scaffold	23932		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000317.1	Chromosome			unplaced-scaffold	23909		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000318.1	Chromosome			unplaced-scaffold	23713		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000319.1	Chromosome			unplaced-scaffold	23686		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000320.1	Chromosome			unplaced-scaffold	23583		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000321.1	Chromosome			unplaced-scaffold	23502		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000322.1	Chromosome			unplaced-scaffold	23444		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000323.1	Chromosome			unplaced-scaffold	23418		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000324.1	Chromosome			unplaced-scaffold	23396		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000325.1	Chromosome			unplaced-scaffold	23383		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000326.1	Chromosome			unplaced-scaffold	23376		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000327.1	Chromosome			unplaced-scaffold	23329		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000328.1	Chromosome			unplaced-scaffold	23327		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000329.1	Chromosome			unplaced-scaffold	23235		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000330.1	Chromosome			unplaced-scaffold	23185		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000331.1	Chromosome			unplaced-scaffold	23139		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000332.1	Chromosome			unplaced-scaffold	23082		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000333.1	Chromosome			unplaced-scaffold	23081		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000334.1	Chromosome			unplaced-scaffold	23014		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000335.1	Chromosome			unplaced-scaffold	22927		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000336.1	Chromosome			unplaced-scaffold	22816		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000337.1	Chromosome			unplaced-scaffold	22793		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000338.1	Chromosome			unplaced-scaffold	22776		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000339.1	Chromosome			unplaced-scaffold	22692		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000340.1	Chromosome			unplaced-scaffold	22636		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000341.1	Chromosome			unplaced-scaffold	22548		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000342.1	Chromosome			unplaced-scaffold	22501		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000343.1	Chromosome			unplaced-scaffold	22486		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000344.1	Chromosome			unplaced-scaffold	22483		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000345.1	Chromosome			unplaced-scaffold	22480		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000346.1	Chromosome			unplaced-scaffold	22451		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000347.1	Chromosome			unplaced-scaffold	22447		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000348.1	Chromosome			unplaced-scaffold	22409		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000349.1	Chromosome			unplaced-scaffold	22303		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000350.1	Chromosome			unplaced-scaffold	22205		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000351.1	Chromosome			unplaced-scaffold	22174		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000352.1	Chromosome			unplaced-scaffold	22058		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000353.1	Chromosome			unplaced-scaffold	22045		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000354.1	Chromosome			unplaced-scaffold	21927		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000355.1	Chromosome			unplaced-scaffold	21915		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000356.1	Chromosome			unplaced-scaffold	21909		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000357.1	Chromosome			unplaced-scaffold	21885		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000358.1	Chromosome			unplaced-scaffold	21735		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000359.1	Chromosome			unplaced-scaffold	21713		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000360.1	Chromosome			unplaced-scaffold	21702		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000361.1	Chromosome			unplaced-scaffold	21700		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000362.1	Chromosome			unplaced-scaffold	21602		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000363.1	Chromosome			unplaced-scaffold	21501		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000364.1	Chromosome			unplaced-scaffold	21283		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000365.1	Chromosome			unplaced-scaffold	21265		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000366.1	Chromosome			unplaced-scaffold	21066		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000367.1	Chromosome			unplaced-scaffold	21022		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000368.1	Chromosome			unplaced-scaffold	20915		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000369.1	Chromosome			unplaced-scaffold	20910		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000370.1	Chromosome			unplaced-scaffold	20904		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000371.1	Chromosome			unplaced-scaffold	20881		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000372.1	Chromosome			unplaced-scaffold	20862		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000373.1	Chromosome			unplaced-scaffold	20793		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000374.1	Chromosome			unplaced-scaffold	20792		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000375.1	Chromosome			unplaced-scaffold	20760		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000376.1	Chromosome			unplaced-scaffold	20649		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000377.1	Chromosome			unplaced-scaffold	20647		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000378.1	Chromosome			unplaced-scaffold	20636		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000379.1	Chromosome			unplaced-scaffold	20622		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000380.1	Chromosome			unplaced-scaffold	20618		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000381.1	Chromosome			unplaced-scaffold	20569		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000382.1	Chromosome			unplaced-scaffold	20499		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000383.1	Chromosome			unplaced-scaffold	20482		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000384.1	Chromosome			unplaced-scaffold	20451		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000385.1	Chromosome			unplaced-scaffold	20265		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000386.1	Chromosome			unplaced-scaffold	20201		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000387.1	Chromosome			unplaced-scaffold	20151		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000388.1	Chromosome			unplaced-scaffold	20047		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000389.1	Chromosome			unplaced-scaffold	19931		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000390.1	Chromosome			unplaced-scaffold	19907		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000391.1	Chromosome			unplaced-scaffold	19883		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000392.1	Chromosome			unplaced-scaffold	19863		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000393.1	Chromosome			unplaced-scaffold	19740		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000394.1	Chromosome			unplaced-scaffold	19667		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000395.1	Chromosome			unplaced-scaffold	19616		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000396.1	Chromosome			unplaced-scaffold	19594		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000397.1	Chromosome			unplaced-scaffold	19588		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000398.1	Chromosome			unplaced-scaffold	19549		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000399.1	Chromosome			unplaced-scaffold	19470		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000400.1	Chromosome			unplaced-scaffold	19457		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000401.1	Chromosome			unplaced-scaffold	19437		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000402.1	Chromosome			unplaced-scaffold	19325		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000403.1	Chromosome			unplaced-scaffold	19325		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000404.1	Chromosome			unplaced-scaffold	19323		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000405.1	Chromosome			unplaced-scaffold	19254		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000406.1	Chromosome			unplaced-scaffold	19244		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000407.1	Chromosome			unplaced-scaffold	19159		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000408.1	Chromosome			unplaced-scaffold	19094		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000409.1	Chromosome			unplaced-scaffold	19072		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000410.1	Chromosome			unplaced-scaffold	19070		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000411.1	Chromosome			unplaced-scaffold	19069		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000412.1	Chromosome			unplaced-scaffold	19019		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000413.1	Chromosome			unplaced-scaffold	18922		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000414.1	Chromosome			unplaced-scaffold	18915		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000415.1	Chromosome			unplaced-scaffold	18895		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000416.1	Chromosome			unplaced-scaffold	18801		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000417.1	Chromosome			unplaced-scaffold	18790		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000418.1	Chromosome			unplaced-scaffold	18746		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000419.1	Chromosome			unplaced-scaffold	18718		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000420.1	Chromosome			unplaced-scaffold	18690		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000421.1	Chromosome			unplaced-scaffold	18682		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000422.1	Chromosome			unplaced-scaffold	18655		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000423.1	Chromosome			unplaced-scaffold	18622		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000424.1	Chromosome			unplaced-scaffold	18545		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000425.1	Chromosome			unplaced-scaffold	18350		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000426.1	Chromosome			unplaced-scaffold	18111		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000427.1	Chromosome			unplaced-scaffold	18094		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000428.1	Chromosome			unplaced-scaffold	18081		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000429.1	Chromosome			unplaced-scaffold	18027		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000430.1	Chromosome			unplaced-scaffold	18026		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000431.1	Chromosome			unplaced-scaffold	17997		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000432.1	Chromosome			unplaced-scaffold	17996		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000433.1	Chromosome			unplaced-scaffold	17958		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000434.1	Chromosome			unplaced-scaffold	17915		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000435.1	Chromosome			unplaced-scaffold	17873		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000436.1	Chromosome			unplaced-scaffold	17823		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000437.1	Chromosome			unplaced-scaffold	17813		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000438.1	Chromosome			unplaced-scaffold	17779		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000439.1	Chromosome			unplaced-scaffold	17755		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000440.1	Chromosome			unplaced-scaffold	17644		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000441.1	Chromosome			unplaced-scaffold	17629		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000442.1	Chromosome			unplaced-scaffold	17548		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000443.1	Chromosome			unplaced-scaffold	17350		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000444.1	Chromosome			unplaced-scaffold	17327		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000445.1	Chromosome			unplaced-scaffold	17256		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000446.1	Chromosome			unplaced-scaffold	17224		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000447.1	Chromosome			unplaced-scaffold	17193		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000448.1	Chromosome			unplaced-scaffold	17161		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000449.1	Chromosome			unplaced-scaffold	17160		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000450.1	Chromosome			unplaced-scaffold	17111		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000451.1	Chromosome			unplaced-scaffold	16977		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000452.1	Chromosome			unplaced-scaffold	16973		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000453.1	Chromosome			unplaced-scaffold	16949		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000454.1	Chromosome			unplaced-scaffold	16943		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000455.1	Chromosome			unplaced-scaffold	16917		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000456.1	Chromosome			unplaced-scaffold	16911		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000457.1	Chromosome			unplaced-scaffold	16910		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000458.1	Chromosome			unplaced-scaffold	16880		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000459.1	Chromosome			unplaced-scaffold	16871		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000460.1	Chromosome			unplaced-scaffold	16861		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000461.1	Chromosome			unplaced-scaffold	16787		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000462.1	Chromosome			unplaced-scaffold	16686		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000463.1	Chromosome			unplaced-scaffold	16675		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000464.1	Chromosome			unplaced-scaffold	16616		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000465.1	Chromosome			unplaced-scaffold	16588		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000466.1	Chromosome			unplaced-scaffold	16582		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000467.1	Chromosome			unplaced-scaffold	16581		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000468.1	Chromosome			unplaced-scaffold	16548		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000469.1	Chromosome			unplaced-scaffold	16511		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000470.1	Chromosome			unplaced-scaffold	16504		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000471.1	Chromosome			unplaced-scaffold	16495		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000472.1	Chromosome			unplaced-scaffold	16483		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000473.1	Chromosome			unplaced-scaffold	16472		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000474.1	Chromosome			unplaced-scaffold	16460		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000475.1	Chromosome			unplaced-scaffold	16454		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000476.1	Chromosome			unplaced-scaffold	16397		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000477.1	Chromosome			unplaced-scaffold	16357		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000478.1	Chromosome			unplaced-scaffold	16341		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000479.1	Chromosome			unplaced-scaffold	16330		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000480.1	Chromosome			unplaced-scaffold	16258		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000481.1	Chromosome			unplaced-scaffold	16243		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000482.1	Chromosome			unplaced-scaffold	16189		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000483.1	Chromosome			unplaced-scaffold	16178		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000484.1	Chromosome			unplaced-scaffold	16102		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000485.1	Chromosome			unplaced-scaffold	16099		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000486.1	Chromosome			unplaced-scaffold	16083		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000487.1	Chromosome			unplaced-scaffold	16081		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000488.1	Chromosome			unplaced-scaffold	16047		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000489.1	Chromosome			unplaced-scaffold	16037		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000490.1	Chromosome			unplaced-scaffold	16010		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000491.1	Chromosome			unplaced-scaffold	16001		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000492.1	Chromosome			unplaced-scaffold	15996		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000493.1	Chromosome			unplaced-scaffold	15980		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000494.1	Chromosome			unplaced-scaffold	15899		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000495.1	Chromosome			unplaced-scaffold	15882		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000496.1	Chromosome			unplaced-scaffold	15830		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000497.1	Chromosome			unplaced-scaffold	15813		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000498.1	Chromosome			unplaced-scaffold	15813		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000499.1	Chromosome			unplaced-scaffold	15794		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000500.1	Chromosome			unplaced-scaffold	15788		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000501.1	Chromosome			unplaced-scaffold	15778		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000502.1	Chromosome			unplaced-scaffold	15776		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000503.1	Chromosome			unplaced-scaffold	15731		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000504.1	Chromosome			unplaced-scaffold	15682		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000505.1	Chromosome			unplaced-scaffold	15667		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000506.1	Chromosome			unplaced-scaffold	15585		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000507.1	Chromosome			unplaced-scaffold	15584		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000508.1	Chromosome			unplaced-scaffold	15499		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000509.1	Chromosome			unplaced-scaffold	15481		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000510.1	Chromosome			unplaced-scaffold	15418		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000511.1	Chromosome			unplaced-scaffold	15396		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000512.1	Chromosome			unplaced-scaffold	15338		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000513.1	Chromosome			unplaced-scaffold	15311		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000514.1	Chromosome			unplaced-scaffold	15279		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000515.1	Chromosome			unplaced-scaffold	15250		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000516.1	Chromosome			unplaced-scaffold	15247		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000517.1	Chromosome			unplaced-scaffold	15177		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000518.1	Chromosome			unplaced-scaffold	15020		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000519.1	Chromosome			unplaced-scaffold	14978		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000520.1	Chromosome			unplaced-scaffold	14977		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000521.1	Chromosome			unplaced-scaffold	14973		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000522.1	Chromosome			unplaced-scaffold	14940		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000523.1	Chromosome			unplaced-scaffold	14934		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000524.1	Chromosome			unplaced-scaffold	14912		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000525.1	Chromosome			unplaced-scaffold	14870		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000526.1	Chromosome			unplaced-scaffold	14851		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000527.1	Chromosome			unplaced-scaffold	14848		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000528.1	Chromosome			unplaced-scaffold	14793		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000529.1	Chromosome			unplaced-scaffold	14786		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000530.1	Chromosome			unplaced-scaffold	14769		
GCA_032158295.1		Primary Assembly	Un			JASTWB010000531.1	Chromosome			unplaced-scaffold	14742		
